metric,point,ci95_low,ci95_high
precision,0.9673202614379085,0.9358928571428572,0.9932885906040269
recall,0.9932885906040269,0.9782608695652174,1.0
f1,0.9801324503311258,0.9621993127147767,0.9936708860759493
